Data as of,Start week,End Week,State,Sex,Age group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
09/30/2020,02/01/2020,09/26/2020,United States,Female,25-34 years,510,"13,512",631,238,75,973,
09/30/2020,02/01/2020,09/26/2020,United States,Female,30-49 years,"2,842","47,466","3,056","1,263",263,"4,875",
09/30/2020,02/01/2020,09/26/2020,United States,Female,35-44 years,"1,258","22,136","1,365",552,117,"2,181",
09/30/2020,02/01/2020,09/26/2020,United States,Female,45-54 years,"3,325","44,368","3,652","1,547",235,"5,632",
09/30/2020,02/01/2020,09/26/2020,United States,Female,50-64 years,"10,778","131,696","12,508","5,282",672,"18,586",
09/30/2020,02/01/2020,09/26/2020,United States,Female,55-64 years,"8,705","104,901","10,166","4,300",534,"15,035",
09/30/2020,02/01/2020,09/26/2020,United States,Female,65-74 years,"16,143","173,389","17,555","7,737",644,"26,519",
09/30/2020,02/01/2020,09/26/2020,United States,Female,75-84 years,"23,125","242,282","23,782","10,423",743,"37,137",
09/30/2020,02/01/2020,09/26/2020,United States,Female,85 years and over,"35,961","384,151","32,040","13,396",821,"55,332",
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,All Ages,4,82,7,4,1,8,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,Under 1 year,0,20,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,0-17 years,0,21,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,1-4 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,5-14 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,15-24 years,0,1,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,18-29 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,25-34 years,0,2,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,30-49 years,0,8,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,35-44 years,0,5,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,45-54 years,1,3,1,1,0,1,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,50-64 years,1,10,2,1,1,3,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,55-64 years,0,8,1,0,1,2,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,65-74 years,1,9,1,1,0,1,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,75-84 years,1,14,2,1,0,2,
09/30/2020,02/01/2020,09/26/2020,United States,Unknown,85 years and over,1,20,2,1,0,2,
09/30/2020,02/01/2020,09/26/2020,Alabama,All Sexes,All Ages,"3,272","38,624","2,998","1,070",100,"5,295",
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,All Ages,"1,658","19,994","1,589",556,60,"2,748",
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,Under 1 year,,120,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,0-17 years,,240,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,1-4 years,0,25,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,5-14 years,0,40,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,15-24 years,,322,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,18-29 years,10,526,,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,25-34 years,17,590,17,,,29,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,30-49 years,96,"1,776",87,32,,154,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,35-44 years,43,867,50,18,,77,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,45-54 years,114,"1,493",79,30,,169,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,50-64 years,318,"4,340",299,100,21,538,
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,55-64 years,247,"3,425",245,79,16,429,
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,65-74 years,453,"4,772",444,153,17,760,
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,75-84 years,465,"4,897",452,163,,761,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Male,85 years and over,315,"3,443",299,106,,514,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,All Ages,"1,614","18,630","1,409",514,40,"2,547",
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,Under 1 year,0,93,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,0-17 years,0,151,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,1-4 years,0,21,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,5-14 years,0,23,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,15-24 years,,118,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,18-29 years,,188,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,25-34 years,,257,16,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,30-49 years,69,"1,039",58,18,,114,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,35-44 years,30,471,25,,,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,45-54 years,86,"1,010",63,21,,133,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,50-64 years,255,"2,918",273,76,13,464,
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,55-64 years,200,"2,303",230,60,,378,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,65-74 years,347,"3,575",291,118,12,532,
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,75-84 years,422,"4,897",396,148,,676,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Female,85 years and over,519,"5,862",382,153,,750,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,All Ages,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,Under 1 year,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,0-17 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,1-4 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,5-14 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,15-24 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,18-29 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,25-34 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,30-49 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,35-44 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,45-54 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,50-64 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,55-64 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,65-74 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,75-84 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alabama,Unknown,85 years and over,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,All Sexes,All Ages,42,"2,763",126,24,,150,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,All Ages,27,"1,615",69,13,,86,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,Under 1 year,0,12,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,0-17 years,0,32,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,1-4 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,5-14 years,0,11,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,15-24 years,0,56,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,18-29 years,0,85,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,25-34 years,0,73,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,30-49 years,,182,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,35-44 years,0,96,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,45-54 years,,123,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,50-64 years,,367,14,,0,16,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,55-64 years,,292,13,,0,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,65-74 years,,373,16,,0,19,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,75-84 years,10,366,17,,,25,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Male,85 years and over,,210,14,,,18,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,All Ages,15,"1,148",57,11,,64,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,Under 1 year,0,10,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,0-17 years,0,22,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,1-4 years,0,,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,5-14 years,0,,0,0,0,0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,15-24 years,0,24,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,18-29 years,0,37,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,25-34 years,,42,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,30-49 years,,112,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,35-44 years,0,55,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,45-54 years,,78,,,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,50-64 years,,207,13,,0,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,55-64 years,,163,10,,0,11,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,65-74 years,,243,12,,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,75-84 years,,237,13,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Female,85 years and over,,290,12,,0,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,All Ages,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,Under 1 year,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,0-17 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,1-4 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,5-14 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,15-24 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,18-29 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,25-34 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,30-49 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,35-44 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,45-54 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,50-64 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,55-64 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,65-74 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,75-84 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Alaska,Unknown,85 years and over,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,All Sexes,All Ages,"4,992","49,323","5,278","2,847",115,"7,538",
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,All Ages,"2,870","26,960","3,010","1,665",61,"4,276",
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,Under 1 year,0,142,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,0-17 years,,312,,,,13,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,1-4 years,,40,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,5-14 years,,45,,,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,15-24 years,14,561,12,,,21,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,18-29 years,35,952,32,21,,47,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,25-34 years,56,994,45,31,,71,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,30-49 years,238,"2,511",180,125,,296,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,35-44 years,110,"1,200",83,59,,136,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,45-54 years,245,"1,878",197,136,,310,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,50-64 years,649,"4,993",616,383,17,899,
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,55-64 years,498,"3,908",493,297,13,707,
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,65-74 years,673,"5,868",757,421,14,"1,023",
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,75-84 years,744,"6,738",850,445,12,"1,161",
09/30/2020,02/01/2020,09/26/2020,Arizona,Male,85 years and over,526,"5,586",568,267,10,837,
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,All Ages,"2,122","22,363","2,268","1,182",54,"3,262",
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,Under 1 year,0,113,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,0-17 years,0,219,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,1-4 years,0,34,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,5-14 years,0,37,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,15-24 years,,178,,,0,10,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,18-29 years,16,324,16,,0,24,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,25-34 years,30,429,30,16,,45,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,30-49 years,135,"1,197",119,80,,181,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,35-44 years,58,547,41,28,,74,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,45-54 years,112,"1,006",118,69,,167,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,50-64 years,347,"3,022",367,200,13,527,
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,55-64 years,292,"2,418",305,170,10,437,
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,65-74 years,459,"4,151",517,280,16,712,
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,75-84 years,558,"5,739",630,328,10,870,
09/30/2020,02/01/2020,09/26/2020,Arizona,Female,85 years and over,607,"7,711",615,286,,944,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,All Ages,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,Under 1 year,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,0-17 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,1-4 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,5-14 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,15-24 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,18-29 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,25-34 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,30-49 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,35-44 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,45-54 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,50-64 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,55-64 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,65-74 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,75-84 years,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arizona,Unknown,85 years and over,0,0,0,0,0,0,
09/30/2020,02/01/2020,09/26/2020,Arkansas,All Sexes,All Ages,"1,173","22,774","1,832",518,77,"2,563",
09/30/2020,02/01/2020,09/26/2020,Arkansas,Male,All Ages,630,"11,976",997,301,41,"1,367",
09/30/2020,02/01/2020,09/26/2020,Arkansas,Male,Under 1 year,0,87,,0,0,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arkansas,Male,0-17 years,0,178,,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arkansas,Male,1-4 years,0,22,0,0,,,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
09/30/2020,02/01/2020,09/26/2020,Arkansas,Male,5-14 years,0,28,0,0,0,0,
